gisid	bbox
178--	758298,2967252,758525,2967486
255-66	749905,2961972,750173,2962223
125-18	761299,2957855,761602,2958099
156-23	759025,2964267,759272,2964620
125-87	762064,2958084,762298,2958352
155-29	759182,2964696,759665,2965055
107-76	763061,2958840,763527,2959313
234-132	753017,2964375,753378,2964659
236-83	753808,2963921,754106,2964175
122-195	760443,2958019,760679,2958329
199-117	757428,2967565,757720,2967843
27-29	769119,2959119,769423,2959376
92-88	763672,2957574,764041,2957977
233-195	754047,2964726,754337,2965013
149-40	760501,2964027,760769,2964302
154-34	759394,2965347,759683,2965596
263-112	753998,2965133,754296,2965415
113-24	763124,2960894,763457,2961210
97-61	762022,2955813,762325,2956126
235-56	753297,2963310,753660,2963602
182-50	757091,2968873,757401,2969195
110-96	763990,2960504,764315,2960798
208-7	756741,2964842,757036,2965137
76-92	765354,2958657,765656,2958910
104-112	762186,2957400,762491,2957702
238-7	754915,2962923,755248,2963203
75-114	764545,2957828,764804,2958085
173-78	758443,2963605,758728,2963954
265A-39	752803,2966567,753271,2967040
26-127	768104,2959516,768371,2959756
195-74	756170,2967738,756421,2968038
80-19	765310,2960799,765612,2961086
39-20	766652,2960125,766943,2960398
117-55	762239,2959176,762585,2959508
87-100	764463,2959834,764785,2960131
234-88	753308,2964658,753663,2964935
75-65	764813,2957935,765078,2958200
92-124	763409,2957107,763886,2957579
87-89	764709,2960317,764992,2960610
25-50	768667,2960142,768920,2960373
235-35	753465,2962638,753839,2962973
248-82	752579,2964630,752945,2965039
24-123	769301,2959689,769688,2960113
255-102	749932,2962232,750186,2962585
82-82	764840,2961508,765123,2961776
89-54	764374,2958913,764659,2959224
217-2	757161,2962811,757540,2963164
224-5	756483,2963457,756775,2963772
120-1	761104,2958978,761362,2959236
112-38	762554,2961238,762840,2961532
256-12	749122,2962669,749486,2963055
100-22	760543,2955337,760825,2955637
251-230	752035,2962182,752382,2962474
233-109	753703,2964625,754070,2964927
234-191	752780,2964627,753091,2964943
141-45	762372,2962569,762635,2962827
125-41	761857,2958029,762114,2958328
94-141	762586,2956460,762912,2956796
97-40	761694,2955625,762040,2955981
26-142	768224,2959634,768461,2959889
234-103	753342,2964217,753607,2964507
74-31	765026,2958382,765330,2958639
135-112	761015,2960491,761352,2960854
220-105	756018,2962065,756282,2962352
205-87	756095,2965833,756385,2966118
146A-108	761272,2962721,761551,2963009
235-3	753326,2962599,753691,2962904
182-41	757533,2968461,757872,2968812
234-104	753295,2964122,753588,2964381
193-41	754738,2968983,755060,2969235
112-93	762957,2961404,763242,2961691
130-87	760281,2959058,760523,2959348
142-126	761359,2961827,761630,2962105
173-92	758422,2963594,758691,2963887
220-87	756457,2962039,756728,2962305
24-62	769262,2959717,769501,2960016
116-109	761368,2960111,761627,2960410
140-153	761763,2962164,761993,2962420
92-116	763129,2956772,763412,2957060
85-98	764958,2960376,765214,2960634
193-204	754549,2968603,754793,2968850
150-116	759839,2964754,760100,2965023
207-24	756515,2964810,756843,2965152
77-8	765186,2959599,765497,2959882
89-15	764458,2958474,764750,2958743
188-122	753858,2970581,754168,2970843
82-88	765089,2961324,765334,2961573
90-172	763579,2959097,763875,2959360
233-203	753898,2964601,754206,2964867
--R	769193,2956619,770209,2957180
68-56	764370,2956276,764855,2956684
191-28	755440,2969534,755711,2969776
194-67	755259,2968409,755556,2968709
36-33	766685,2961391,766942,2961628
34-141	767356,2960081,767797,2960589
121-56	760832,2959196,761097,2959489
122-197	760483,2958024,760732,2958320
167-102	757788,2961579,758073,2961873
75-92	764891,2958383,765196,2958642
166-52	757387,2961347,757650,2961625
191-83	755645,2969388,755873,2969667
100-88	760447,2955578,760783,2955953
179-83	759001,2966791,759354,2967102
236-27	753860,2962525,754219,2962828
233-207	753608,2964707,753868,2964996
102-20	761331,2955532,761636,2955825
262-94	755092,2965346,755396,2965628
149-103	760131,2964115,760446,2964389
110-110	764037,2960303,764356,2960583
206-25	756878,2965551,757184,2965854
26-36	768130,2959681,768382,2959905
80-72	765955,2960827,766281,2961114
265A-7	752726,2966278,753158,2966822
225-16	756278,2963695,756550,2964005
156-32	759329,2964073,759574,2964403
234-199	753441,2964415,753733,2964690
254-50	750233,2962075,750529,2962326
252A-135	751037,2962397,751285,2962653
101-131	760586,2956154,760856,2956415
23-4	768461,2960719,768778,2961035
120-27	761470,2959121,761756,2959399
156-82	759039,2963948,759290,2964269
75-98	764885,2958225,765162,2958509
150-94	760197,2964645,760434,2964912
231-36	755210,2964002,755509,2964299
149-76	760662,2964428,760989,2964742
74-124	764974,2958203,765243,2958510
230-112	754737,2964385,755025,2964698
93-74	763459,2957881,763756,2958184
27-21	768777,2959132,769042,2959437
86-110	764905,2960132,765171,2960409
267B-216	748631,2967615,748954,2967976
189-27	754614,2970767,754918,2971008
86-13	764717,2960042,765024,2960324
RR	753129,2967492,755462,2968319
193-165	754349,2968654,754589,2968896
20-80	769833,2960718,770081,2960965
188-34	754114,2970705,754426,2970945
40-202	766541,2959223,766810,2959490
110-63	764131,2960509,764491,2960857
267.2-6	752122,2969497,752530,2969752
207-26	756648,2964885,756995,2965244
122-104	761097,2958515,761384,2958762
129-59	759856,2956962,760458,2957603
125-46	762127,2958083,762395,2958361
84-24	764820,2961077,765086,2961330
228-43	755616,2965580,755930,2965897
198-86	756777,2968063,757022,2968362
79-78	765621,2960127,765910,2960397
89-46	764241,2958625,764580,2958933
247-226	752502,2963242,753006,2963583
199-17	757105,2967684,757406,2967965
85-37	765108,2960718,765424,2961057
123-80	761473,2958433,761777,2958679
256-77	749703,2962654,749950,2962943
77-70	765419,2959362,765697,2959621
149-22	760391,2964278,760674,2964577
93-47	763187,2957647,763458,2957910
271-53	754801,2967400,755093,2967652
192-130	756039,2969460,756335,2969766
87-37	764373,2960601,764692,2960963
189-22	754618,2970566,754920,2970808
234-169	753430,2964015,753690,2964321
202-34	756895,2966749,757165,2967058
221-114	755146,2962094,755444,2962426
134-4	760473,2960490,760797,2960842
25-152	768315,2959869,768590,2960180
102-140	761465,2956267,761809,2956551
199-142	756832,2967185,757069,2967450
184-132	756085,2970280,756386,2970571
107-91	763025,2959035,763303,2959314
33-18	767886,2960028,768144,2960304
101-56	760980,2956607,761295,2956912
80-20	765332,2960851,765633,2961134
172-41	758219,2963323,758529,2963716
125-136	761315,2957724,761615,2957969
102-64	761817,2956146,762124,2956445
24-11	769221,2959568,769473,2959872
23-75	768269,2960393,768497,2960646
90-155	763522,2958034,763889,2958390
83-90	764461,2961305,764707,2961599
93-49	763211,2957678,763483,2957941
190-227	755217,2969638,755478,2969889
---	763944,2958722,764231,2958968
246A-50	753048,2961917,753349,2962142
227-111	755929,2964381,756207,2964670
261-156	754098,2965789,754405,2966071
192-135	756148,2969353,756437,2969648
247-161	752626,2963429,752968,2963709
124-75	761738,2958177,761974,2958479
265D-45	752268,2968522,752578,2968940
82-83	764877,2961446,765178,2961772
109-48	763836,2959892,764136,2960163
122-198	760898,2958644,761230,2959006
14-39	768693,2957812,769031,2958161
248-48	752637,2964454,752905,2964740
118-40	762795,2959303,763101,2959601
125-59	761774,2957912,762055,2958170
114-119	763193,2960699,763513,2960986
17-15	769216,2959212,769475,2959465
266-15	748450,2964600,748797,2964933
27-96	769123,2959148,769371,2959383
107-58	763180,2959135,763413,2959356
267B-176	748801,2967973,749086,2968285
267A-237	749085,2968596,749385,2968927
187-53	753648,2970580,753935,2970825
39-118	766968,2959526,767193,2959843
96-81	762250,2955237,762502,2955502
232-33	754670,2963844,754992,2964097
229-97	755110,2965110,755452,2965435
181-21	758239,2967819,758532,2968114
237-73	753961,2963353,754356,2963721
210-31	757853,2965841,758141,2966147
35-48	768187,2960722,768460,2960957
107-9	762736,2958660,763082,2958997
125-92	761402,2957816,761708,2958078
234-160	753249,2964889,753602,2965175
200-81	757719,2967468,758009,2967738
238-83	754789,2962919,755142,2963229
39-51	766630,2959865,766899,2960175
202-37	756748,2966779,757018,2967089
230-96	754561,2964492,754846,2964774
195-102	756040,2967400,756294,2967698
83-33	764420,2961418,764687,2961667
117-82	762241,2959746,762525,2960046
117-32	762246,2959347,762561,2959653
149-65	759845,2964070,760131,2964388
25-27	768209,2960134,768521,2960450
9-89	771271,2959394,771730,2959878
85-42	765101,2960575,765363,2960828
85-97	764981,2960364,765269,2960630
78-43	765883,2959805,766164,2960082
126-131	760559,2957766,760838,2958034
199-7	756910,2967371,757212,2967656
267C-94	750096,2968319,750429,2968668
195-41	755865,2967828,756167,2968089
267A-260	749188,2968844,749541,2969129
103-95	762343,2956783,762635,2957072
242A-153	753542,2961540,753811,2961772
135-41	761020,2960633,761406,2961006
70-99	764451,2957366,764731,2957761
100-11	760514,2955423,760780,2955708
214-52	757825,2963672,758111,2963996
252-136	751505,2962145,751816,2962421
101-185	760655,2956239,760924,2956500
109-96	763795,2960160,764069,2960412
135-139	761513,2960746,761750,2961007
249-151	752210,2963159,752570,2963462
157-26	758809,2963639,759106,2963936
122-20	760794,2958217,761049,2958493
228-28	755515,2965530,755788,2965812
271-23	755222,2966558,755550,2966884
83-43	764718,2961523,764984,2961775
220-74	756150,2962479,756467,2962805
126-37	760654,2957899,760906,2958183
114-130	762920,2960199,763437,2960687
195-129	755511,2967803,755759,2968084
154-48	759395,2965002,759666,2965308
154-16	759084,2965020,759350,2965335
30-40	767478,2958000,767938,2958466
179-88	758838,2967582,759165,2967923
112-6	762302,2961010,762592,2961311
79-87	765522,2959840,765831,2960115
205-25	756191,2965646,756471,2965929
247-139	753267,2962273,753524,2962581
189-48	754873,2970549,755186,2970792
109-76	763536,2960096,763806,2960395
234-126	753171,2964584,753527,2964866
98-46	761298,2954896,761572,2955164
97-92	761739,2955425,762000,2955690
25-36	768947,2960067,769289,2960426
183-128	755988,2969708,756461,2970233
94-43	762577,2956878,762887,2957179
132-146	760083,2960076,760338,2960397
93-101	763396,2957821,763654,2958086
267B-194	749020,2968267,749329,2968544
77-24	765364,2959585,765631,2959897
202-28	757150,2966720,757481,2967015
182-8	756804,2968961,757118,2969268
39-152	767040,2960006,767301,2960313
183-34	756759,2969664,757056,2969954
253-86	750535,2962939,750803,2963254
--R1	770183,2957586,771100,2958746
88-60	764586,2958997,764847,2959296
25-64	768927,2959859,769163,2960175
246-1021	753551,2962031,753974,2962504
42-6	766269,2958622,766542,2958888
200-57	757823,2966948,758200,2967282
194-83	755143,2968016,755440,2968248
255-87	749789,2962080,750038,2962370
188-78	754475,2970603,754778,2970844
247-153	752936,2962956,753265,2963237
183-100	756409,2969376,756741,2969717
97-131	761639,2955697,761937,2955983
80-63	766178,2960700,766445,2960949
180-16	758358,2968469,758641,2968754
189-35	755018,2970633,755335,2970946
40-159	766027,2959073,766299,2959347
93-113	763144,2957597,763413,2957860
183-89	756500,2969938,756794,2970193
93-2	762881,2957278,763155,2957550
84-20	764665,2961074,764984,2961405
233-123	753944,2964247,754260,2964507
87-109	763990,2959724,764289,2960068
120-3	761138,2959052,761398,2959351
253-103	750722,2962177,751006,2962452
22-122	769154,2960764,769389,2961025
237-33	754105,2963976,754360,2964263
122-37	761025,2958090,761283,2958398
225-3	756246,2963796,756616,2964196
112-56	762710,2961199,762991,2961471
175-81	758348,2964932,758654,2965226
202-107	757021,2966816,757334,2967133
172-104	758532,2963151,758811,2963396
115-105	762652,2960248,762938,2960545
196-132	756234,2968755,756521,2969040
126-59	760904,2957927,761143,2958211
123-10	761646,2958165,761910,2958470
199-189	757129,2967131,757502,2967463
140-147	761659,2962274,761924,2962505
274-1J	755121,2960292,755397,2960583
109-10	763666,2960237,763914,2960482
99-39	760886,2955569,761212,2955883
235-57	753311,2963276,753670,2963548
230-76	755399,2964231,755691,2964524
114-116	763248,2960782,763569,2961079
115-110	761716,2960542,762009,2960826
98-25	761397,2955259,761697,2955568
247-212	752671,2963286,753005,2963568
199-184	757195,2967498,757503,2967803
198-14	756809,2967649,757134,2967902
78-27	765696,2959540,765962,2959802
251-167	751798,2963121,752104,2963442
233-112	753750,2964188,754008,2964453
107-26	763314,2959117,763759,2959499
188-56	754379,2970521,754676,2970763
91-118	763649,2957942,763986,2958277
181-65	757493,2968134,757822,2968457
246A-35	752746,2961999,753000,2962280
19-35	769634,2959411,769903,2959656
116-29	762160,2959924,762459,2960230
101-181	761112,2956261,761428,2956595
205-92	755796,2965787,756055,2966066
22-117	768956,2960952,769190,2961206
149-136	760309,2963777,760594,2964053
78-122	765886,2959243,766152,2959507
262-112	754862,2965183,755149,2965491
193-184	754668,2968591,754950,2968881
249-55	752300,2963409,752633,2963689
269-127	753235,2969437,753707,2969767
229-125	755405,2965275,755744,2965581
142-48	761270,2962382,761602,2962668
90-170	763196,2958319,763638,2958777
40-67	766500,2959375,766744,2959631
247-178	752795,2962894,753112,2963173
146A-125	761555,2962970,761879,2963270
262-41	755172,2965494,755462,2965802
76-119	764847,2958879,765130,2959185
22-66	768804,2960825,769045,2961101
125-107	761414,2957734,761719,2957981
221-40	755789,2961724,756037,2962028
77-38	765325,2959614,765587,2959870
36-149	767420,2961199,767718,2961446
229-62	755692,2964815,755984,2965126
174-97	758245,2964300,758528,2964604
122-16	760675,2958155,760942,2958401
195-7	755602,2967626,755863,2967919
26-124	768091,2959446,768360,2959689
198-76	756810,2967700,757135,2967951
125-125	761804,2957711,762077,2957973
150-86	760058,2964286,760332,2964568
108-96	763048,2959966,763302,2960210
220-134	756270,2961685,756520,2961945
194-73	755273,2968104,755571,2968369
214-21	757635,2963463,757892,2963750
251-249	751989,2962962,752327,2963292
84-91	764123,2961151,764439,2961492
88-49	763796,2959484,764161,2959851
193-87	755057,2968873,755297,2969117
178-13	758135,2967115,758442,2967403
96-118	762623,2955610,762969,2955955
8-61	770789,2959604,771460,2960239
246A-46	753048,2962045,753347,2962359
69-162	764640,2956940,764889,2957181
106-42	762656,2957792,762941,2958087
139-75	762239,2961363,762554,2961649
193-11	754462,2968894,754783,2969150
104-51	761735,2957341,762007,2957622
1A-171	770778,2960273,771637,2960765
272-19	755535,2965792,755808,2966062
65-8	761967,2954761,762279,2955064
242B-56	754210,2960126,754898,2961456
246A-57	753150,2961829,753441,2962082
35-36	767707,2960735,768074,2961059
193-46	754747,2968732,755068,2968986
33-94	767744,2960041,767983,2960300
147-41	761038,2963555,761954,2964350
184-168	755864,2970836,756220,2971231
140-90	761530,2962214,761858,2962495
193-56	754625,2968781,754947,2969033
151-70	759783,2965637,760041,2965899
23-112	768275,2960533,768507,2960796
40-98	766333,2959592,766587,2959844
105-13	762111,2957671,762402,2957969
184-70	755730,2970508,756007,2970778
267B-177	748804,2967728,749113,2968003
25-127	768174,2959948,768427,2960175
116-64	761944,2959940,762244,2960303
34-107	767502,2960367,767747,2960675
149-108	759929,2963949,760287,2964364
132-60	760213,2959649,760486,2959901
236-65	753906,2963949,754211,2964204
251-96	751658,2962689,751953,2962969
21-41	769525,2960701,769773,2960999
255-108	750073,2961780,750317,2962120
186-63	754983,2971067,755283,2971349
183-10	756149,2970105,756440,2970388
258-14	750048,2963027,750354,2963291
179-6	759105,2967500,759391,2967778
26-44	768691,2959654,768958,2959961
254-76	750466,2961708,750785,2961973
215-8	757445,2963207,757774,2963535
204-134	756128,2966361,756443,2966647
267F-391	751194,2967184,751708,2967519
84-76	764709,2960873,764972,2961159
151-126	759805,2965300,760070,2965564
195-91	755372,2967379,756132,2967727
267D-340	749271,2967466,749809,2968120
101-40	760976,2956345,761251,2956614
79-56	765396,2959749,765661,2960024
173-38	758533,2964094,758823,2964364
230-8	754999,2964672,755293,2964982
110-30	763886,2960633,764203,2960926
221-45	755677,2961834,755934,2962073
182-98	756703,2969047,757076,2969419
68-60	763944,2956020,764453,2956438
114A-12	763350,2960948,763664,2961248
21-100	769557,2960851,769795,2961104
87-139	764540,2960506,764803,2960799
210-4	757469,2966089,757809,2966415
220-104	755989,2962069,756251,2962363
36-76	767015,2961242,767260,2961523
114-145	763295,2960372,763559,2960627
188-123	753967,2970562,754280,2970825
150-32	760002,2964664,760234,2964920
184-12	755240,2970879,755569,2971202
90-98	763952,2958732,764249,2959006
201-71	757959,2966424,758225,2966714
237-36	754129,2963577,754569,2963931
169-82	758605,2961483,758900,2961760
74-129	765088,2958628,765339,2958908
227-60	756313,2964781,756662,2965105
36-150	767415,2961169,767712,2961415
149-135	760289,2963810,760574,2964085
87-80	764513,2960183,764807,2960467
236-61	753767,2963635,754063,2963930
86-80	764846,2959744,765117,2960023
235-26	753259,2963438,753627,2963747
75-87	764963,2958629,765266,2958902
221-111	755733,2962113,755966,2962350
64-RAIL	761757,2954026,764386,2955903
237-57	754006,2963637,754344,2963933
19-45	769694,2959388,769930,2959637
242A-159	753716,2960686,754042,2961047
222-33	755816,2962526,756148,2962779
101-113	761143,2956393,761402,2956637
206-46	756252,2965454,756603,2965802
87-13	764227,2960216,764483,2960482
160-25	759358,2960948,759707,2961256
194-70	755264,2968330,755560,2968585
173-91	758307,2963572,758656,2963937
99-59	760558,2955154,760892,2955499
196-99	756475,2968509,756760,2968780
179-58	759156,2967435,759437,2967709
34-14	767775,2960509,768058,2960747
267C-86	749350,2968299,749627,2968610
192-121	756399,2969148,756723,2969469
81-95	765994,2960989,766642,2961745
125-69	761523,2957537,761806,2957836
114A-57	763597,2960899,763907,2961190
235-65	753231,2963508,753608,2963854
184-85	755762,2970755,756026,2971017
135-154	761698,2960757,761993,2961055
176-9	758397,2965787,758662,2966130
96-32	762202,2955413,762495,2955696
116-79	761211,2960281,761514,2960579
118-50	762929,2959505,763203,2959765
169-100	758758,2961449,759097,2961757
271-29	754917,2967314,755191,2967625
268C-35	752808,2968726,753187,2969113
96-128	761875,2955129,762170,2955410
92-128	763556,2956700,764133,2957326
196-162	756391,2968975,756678,2969264
214-35	757847,2963420,758183,2963764
251-121	751631,2962399,751957,2962678
141-42	762314,2962641,762577,2962899
184-199	755232,2970731,755646,2971143
111-7	762631,2961925,762916,2962181
85-28	765180,2960991,765474,2961315
233-138	754189,2964278,754471,2964530
255-62	749715,2961942,750002,2962191
112-95	762576,2960933,762928,2961253
104-81	762058,2957467,762342,2957752
224-24	756234,2963248,756525,2963548
65-53	761738,2954952,762038,2955243
31-15	767425,2958978,767860,2959414
190-30	754508,2969891,754751,2970169
116-16	761105,2960035,761504,2960437
124-19	761805,2958518,762108,2958758
174-16	758436,2964375,758737,2964656
123-29	761317,2958552,761622,2958812
261-167	753454,2965818,754055,2966527
184-86	755779,2970779,756046,2971036
105-140	762216,2957995,762474,2958247
251-223	751810,2962977,752153,2963311
196-151	756139,2968558,756419,2968825
178-1	758249,2967297,758580,2967632
192-169	756039,2968841,756329,2969138
265A-35	752580,2966482,752899,2966747
210-9	757618,2965664,757988,2966014
139-65	762083,2961078,762395,2961378
130-3	760103,2957980,760351,2958252
192-159	755511,2968531,755750,2968848
111-60	762696,2961511,763503,2962405
249-61	752649,2962772,752937,2963080
186-5	754715,2971402,755004,2971707
117-1	761828,2959394,762131,2959701
86-43	764904,2959514,765195,2959812
206-20	756734,2965659,757041,2965965
101-83	761100,2956751,761405,2957047
135-134	761582,2960723,761834,2960958
217-1	757068,2962878,757464,2963234
132-9	759831,2960067,760157,2960356
195-26	755905,2967603,756203,2967866
195-70	756128,2967982,756425,2968224
65-2	761849,2954925,762144,2955229
153-37	759419,2965664,759721,2965915
179-17	758878,2967634,759163,2967940
150-59	760499,2964521,760778,2964802
93-81	763658,2957726,763947,2958029
115-48	762118,2960531,762412,2960832
267D-259	749422,2967474,749692,2967796
107-2	762731,2958729,763124,2959115
82-30	765132,2961242,765398,2961497
153-79	759577,2965759,759937,2966021
36-109	766906,2961095,767138,2961345
239-67	754921,2962490,755244,2962827
112-99	762337,2960970,762625,2961282
209-20	757305,2965543,757621,2965848
179-46	758706,2967482,758994,2967766
246A-52	753051,2961955,753350,2962195
269-14	754158,2969516,754482,2969769
80-87	765875,2960531,766229,2960817
27-86	768603,2958997,769369,2959418
212-1	757914,2964854,758244,2965204
110-24	764024,2960892,764341,2961191
24-38	769073,2959819,769341,2960060
26-48	768792,2959637,769059,2959944
225-49	756041,2963464,756468,2963779
114A-123	763778,2961036,764073,2961305
239-37	754865,2961956,755163,2962236
149-112	760273,2964214,760533,2964462
256-31	749800,2962540,750051,2962833
124-44	761400,2958800,761676,2959087
137-2	760275,2961711,760650,2962148
146-11	761064,2962977,761394,2963315
196-46	756716,2968424,757034,2968755
251-193	751784,2962304,752158,2962665
79-80	765600,2960065,765889,2960322
23-45	768889,2960558,769132,2960860
22-33	768685,2960895,768952,2961152
235-69	753199,2963709,753554,2963975
83-37	764637,2961582,764881,2961828
79-3	765091,2960304,765396,2960566
75-165	764974,2958512,765231,2958757
247-146	752844,2963296,753176,2963575
25-125	768871,2960139,769118,2960439
23-23	768314,2960750,768593,2961018
195-120	756133,2968224,756432,2968463
219-14	756878,2961709,757250,2962035
25-65	768944,2959857,769179,2960173
233-42	753914,2964696,754222,2964962
229-35	755700,2964931,755984,2965237
191-74	755445,2969383,755677,2969644
113-63	763187,2961172,763472,2961466
180-33	758667,2967889,759019,2968254
123-23	761455,2958584,761736,2958860
40-20	766186,2959293,766426,2959545
40-193	766617,2959659,766862,2959934
196-15	756512,2969071,756800,2969360
211-238	757708,2965415,758100,2965807
24-86	769427,2959993,769710,2960226
242A-69	753392,2961097,753668,2961411
88-41	764607,2959184,764877,2959443
26-141	768432,2959426,768699,2959671
10-44	770541,2958703,770892,2959128
23-90	768995,2960257,769327,2960663
229-95	755168,2965182,755508,2965507
132-75	759988,2959678,760259,2959986
222-41	755598,2962476,755897,2962766
123-47	761239,2958368,761543,2958614
167-99	757767,2961709,758018,2961952
68-58	764163,2956156,764633,2956554
87-61	764413,2960337,764739,2960618
150-127	760343,2964471,760592,2964754
247-93	752865,2962351,753194,2962680
139-52	762126,2961337,762424,2961626
272-10	755456,2965767,755763,2966081
78-57	765713,2959973,766025,2960230
27-69	768505,2959162,768864,2959483
99-11	760941,2955040,761254,2955340
101-148	760846,2956122,761146,2956426
127-105	761185,2957208,761488,2957523
230-72	755527,2964382,755821,2964678
37-67	766810,2960221,767080,2960534
162-73	758587,2960629,758881,2960913
182-93	757430,2968396,757691,2968654
101-193	761248,2956233,761561,2956542
56-4	765005,2956127,765703,2956681
246A-71	753148,2961925,753353,2962151
97-111	761993,2955488,762268,2955752
201-100	757814,2966646,758093,2966926
151-16	760213,2965124,760442,2965360
173-56	758493,2963763,758764,2964048
93-9	762879,2957217,763151,2957489
36-193	766738,2961123,766976,2961350
36-92	767163,2961134,767406,2961420
98-86	761404,2955184,761695,2955477
251-21	751593,2962513,751917,2962788
150-107	760457,2964505,760719,2964778
151-76	760161,2965180,760397,2965422
96-115	762309,2955696,762591,2955975
79-129	765547,2960284,765782,2960537
251-251	751985,2963406,752289,2963726
36-184	766633,2961087,766895,2961333
190-197	755283,2969539,755523,2969790
86-90	764595,2959453,764878,2959720
94-128	762440,2956232,762712,2956511
260-80	753103,2964960,754152,2966024
74-9	764964,2957580,765207,2957873
126-130	760555,2957826,760832,2958075
199-187	757145,2967085,757530,2967451
75-7	764638,2958209,764912,2958475
109-75	763567,2960081,763836,2960370
231-17	755020,2963929,755277,2964224
203A-30	755541,2967218,755775,2967486
127-6	760586,2956643,761018,2957000
128-63	760240,2956804,760725,2957320
206-88	756207,2965255,756496,2965569
96-33	762150,2955293,762425,2955575
37-38	766924,2960205,767222,2960493
200-12	757726,2967260,757992,2967534
84-89	764622,2960998,764875,2961258
91-195	764008,2957799,764450,2958198
190-55	754317,2969692,754636,2969947
195-132	755645,2967809,755893,2968090
193-123	755295,2969086,755616,2969344
247-176	752825,2962798,753138,2963073
149-31	760460,2964133,760754,2964435
175-55	758272,2964739,758608,2965057
25-90	768361,2959970,768608,2960270
82-9	764882,2961303,765181,2961592
181-63	758104,2968051,758428,2968374
184-81	755666,2970630,755951,2970910
84-52	764467,2960768,764770,2961060
36-266	766556,2960947,766822,2961261
167-63	757091,2961611,757361,2961889
261-142	754037,2965681,754343,2965966
214-2	757490,2963633,757796,2963950
142-5	760995,2962023,761272,2962295
132-17	759998,2960061,760283,2960322
139-91	761761,2961016,762104,2961352
230-116	754887,2964892,755176,2965179
34-51	768162,2960402,768407,2960638
271-59	755098,2967053,755360,2967350
247-98	752999,2963198,753330,2963473
188-80	754476,2970522,754779,2970764
191-4	755596,2970010,755945,2970273
220-149	756075,2962168,756346,2962430
78-142	765951,2959183,766237,2959458
269-111	754188,2969923,754469,2970195
88-32	764736,2959143,765024,2959404
239-62	754590,2962363,754959,2962763
183-37	756834,2969572,757132,2969864
225-31	756347,2963542,756608,2963807
103-88	762277,2956860,762563,2957156
122-154	760597,2958273,760866,2958535
102-68	761616,2956118,761929,2956437
140-53	762511,2961942,762799,2962200
105-16	762057,2957913,762330,2958177
242B-52	754125,2961267,754494,2961707
210-53	757464,2965502,757750,2965801
123-65	761230,2958796,761501,2959072
178-63	758411,2967075,758695,2967356
40-228	766278,2959069,766519,2959400
192-34	755920,2969361,756226,2969675
106-36	762717,2957465,762993,2957743
79-138	765249,2960446,765563,2960720
268C-37	752755,2968710,753077,2969107
205-15	755841,2965721,756127,2965989
42-18	765779,2958658,766024,2958914
104-2	761283,2956964,761586,2957259
140-2	761685,2962408,761941,2962742
201.5-55	757298,2966240,757604,2966516
87-124	764347,2960247,764608,2960530
141-34	762073,2962814,762349,2963092
126-172	760815,2957362,761230,2957780
201-35	757582,2966688,757841,2966979
178-92	758683,2966602,758951,2966897
141-91	761732,2962677,761996,2963002
90-43	763532,2958700,763841,2958974
87-35	764350,2960558,764659,2960846
194-17	755288,2967769,755585,2968011
263-73	754439,2964865,754718,2965176
247-128	752469,2963420,752831,2963699
23-67	768563,2960340,768814,2960645
214-60	757630,2963594,757898,2963899
90-88	763784,2958772,764077,2959069
101-164	760642,2956109,760923,2956383
141-81	762153,2962789,762446,2963081
175-36	758635,2965189,758910,2965529
194-79	755277,2968005,755575,2968256
233-187	753488,2964863,753760,2965151
200-7	757550,2967147,757837,2967419
9-41	770709,2959428,771151,2959847
180-70	758569,2968048,758911,2968392
174-14	758411,2964620,758706,2964921
22-27	768963,2961047,769233,2961320
131-39	760361,2959329,760686,2959581
94-220	762437,2956652,762705,2956920
74-138	765078,2958579,765351,2958832
250-223	752611,2962402,752946,2962693
193-147	755173,2969083,755497,2969389
142-111	761507,2962657,761781,2962941
251-154	751541,2962944,751873,2963259
189-21	754619,2970525,754921,2970768
150-40	759855,2964589,760097,2964858
66-73	762697,2954787,763235,2955282
266-6	748115,2965276,748464,2965604
80-176	765832,2960750,766078,2960987
80-177	765769,2960752,766033,2961010
193-180	754736,2969030,755058,2969305
179-15	758861,2967490,759173,2967799
114-97	763222,2960121,763526,2960452
266-31	749012,2963503,753006,2966913
177-52	758123,2966339,758401,2966640
267.4-247	751368,2968288,751921,2968619
207-1	756267,2964998,756600,2965340
39-23	766753,2960085,767025,2960397
79-133	765242,2960312,765514,2960573
267D-256	750234,2967561,750579,2967875
154-92	759093,2965250,759349,2965515
135-128	761621,2960808,761874,2961044
26-154	768935,2959515,769173,2959749
107-127	763082,2959375,763470,2959802
235-55	753357,2962820,753639,2963101
247-221	752557,2963152,752911,2963442
267B-18	748580,2967936,748888,2968198
14-50	768597,2957439,769457,2957886
269-118	754148,2969817,754472,2970070
89-38	764496,2958644,764751,2958927
132-125	759843,2959937,760096,2960189
87-92	764614,2960196,764937,2960480
234-112	753442,2964121,753712,2964411
112-82	762924,2961204,763199,2961493
214-15	757664,2963607,757937,2963916
17-12	769239,2959304,769534,2959541
114-85	763501,2960514,763808,2960794
219-23	756610,2962177,756928,2962475
103-35	762415,2956940,762673,2957199
102-144	761857,2956330,762132,2956600
24-96	769164,2960358,769419,2960607
250-168	752249,2962404,752556,2962713
119-98	761715,2959109,762011,2959412
