gisid	bbox
121-24	761044,2959352,761303,2959644
44-95	767810,2957608,768019,2957836
267A-246	749100,2968759,749369,2969086
119-53	762299,2958346,762626,2958665
224-13	756840,2963302,757212,2963639
140-79	761897,2962354,762171,2962602
151-94	760236,2965089,760471,2965331
193-101	754910,2968662,755229,2968915
150-118	760087,2964661,760317,2964916
233-27	754006,2964632,754323,2964895
120-17	761191,2959178,761437,2959434
22-59	769082,2960776,769334,2961082
76-53	765595,2958751,765851,2959011
199-74	757452,2967338,757811,2967646
140-148	761589,2961767,761965,2962069
240-52	754287,2961837,754638,2962233
95-76	763052,2956219,763465,2956627
261-120	753917,2965997,754202,2966308
151-39	760083,2965021,760340,2965266
112-97	762087,2960798,762475,2961156
221-96	755420,2961925,755680,2962182
167-77	757298,2961728,757615,2962003
192-152	755607,2969297,755958,2969549
258-63	750001,2963222,750325,2963520
193-124	755297,2968989,755620,2969291
199-24	757370,2967900,757645,2968184
123-84	761202,2958854,761454,2959106
203B-52	755329,2966423,755882,2967087
78-24	765679,2959471,765954,2959746
117-36	762322,2959454,762618,2959731
192-138	756177,2969175,756496,2969510
229-153	755782,2965141,756055,2965424
183-9	756136,2970101,756422,2970367
176-13	758637,2965803,759102,2966202
91-180	764021,2957938,764323,2958241
25-5	768351,2960224,768598,2960528
260-35	753940,2965424,754226,2965734
40-61	766495,2959432,766738,2959688
73-124	765195,2957780,766332,2958789
128-70	759952,2956076,760322,2956591
114A-67	763871,2961215,764172,2961537
251-134	751710,2962362,752072,2962797
261-131	753928,2965695,754237,2965982
267A-265	748997,2968582,749241,2968898
80-64	766171,2960662,766435,2960921
25-75	768838,2959782,769103,2960065
87-113	764388,2959587,764683,2959875
104-130	761468,2956697,761984,2957120
139-38	761683,2960949,761964,2961282
48-154	767777,2956249,768464,2956849
211-53	758135,2965196,758528,2965616
221-89	755782,2962005,756018,2962250
23-57	768366,2960477,768607,2960779
117-102	762397,2959851,762741,2960147
195-25	755913,2967563,756169,2967814
195-37	756040,2967535,756300,2967835
151-3	759902,2965427,760184,2965692
184-34	755531,2970646,755820,2970926
166-85	757266,2961059,757608,2961387
109-15	763608,2960165,763896,2960464
33-98	767732,2960111,767972,2960382
222-12	755403,2962467,755712,2962772
202-5	756873,2966998,757132,2967266
23-156	769047,2960402,769280,2960666
166-72	757088,2961016,757500,2961485
121-53	760684,2959257,760962,2959556
190-265	754377,2969595,754608,2969856
236-10	753507,2963276,753857,2963597
195-71	756127,2967940,756425,2968182
242A-110	753527,2960819,753837,2961169
35-63	767613,2960847,767888,2961108
267E-17	750970,2967163,751299,2967644
18-74	769887,2959801,770521,2960251
160-53	759249,2960690,759517,2960975
242A-138	753875,2961209,754250,2961669
210-74	757405,2965677,757696,2965949
34-13	767795,2960535,768062,2960771
231-46	755415,2963587,755773,2963933
175-35	758618,2965051,758908,2965415
36-14	766430,2961236,766706,2961483
206-80	756108,2965479,756380,2965762
264-34	754069,2965958,754881,2966688
184-63	755762,2970662,756028,2970938
224-40	756196,2963100,756477,2963404
108-84	763443,2959423,763930,2959939
262-124	754539,2965246,754830,2965563
194-43	755376,2967506,755691,2967851
174-88	758473,2964481,758780,2964762
121-6	760841,2959551,761255,2960008
18-73	769898,2959912,770201,2960150
237-77	753999,2963592,754378,2963856
154-59	759145,2965247,759399,2965511
266-25	748558,2966265,748898,2966584
229-130	755004,2964961,755371,2965270
98-12	761162,2954927,761465,2955219
17-22	768987,2959315,769261,2959591
20-75	769630,2960425,769946,2960832
166-77	757512,2961238,757784,2961496
204-150	755613,2965954,756421,2966623
228-21	755783,2965564,756074,2965837
---	763511,2958109,763785,2958398
190-115	755273,2969738,755596,2969991
232-53	754518,2963651,754784,2963958
176-69	758600,2965820,758856,2966161
118-57	762916,2959330,763205,2959590
151-89	759813,2964963,760112,2965252
167-85	757210,2961805,757465,2962092
116-76	761514,2959716,761862,2960094
